Files already downloaded and verified
Files already downloaded and verified
num params: 472756
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  10, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.699, TAw acc=  0.0% |
| Epoch  11, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.831, TAw acc=  0.0% |
| Epoch  12, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.676, TAw acc=  0.0% |
| Epoch  13, time=  4.8s | Train: skip eval | Valid: time=  0.2s loss=1.941, TAw acc=  0.0% |
| Epoch  14, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.970, TAw acc=  0.0% |
| Epoch  15, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=2.170, TAw acc=  0.0% |
| Epoch  16, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=2.132, TAw acc=  0.0% |
| Epoch  17, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.877, TAw acc=  0.0% |
| Epoch  18, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=2.161, TAw acc=  0.0% |
| Epoch  19, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=2.124, TAw acc=  0.0% |
| Epoch  20, time=  4.5s | Train: skip eval | Valid: time=  0.2s loss=2.196, TAw acc=  0.0% |
| Epoch  21, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=2.190, TAw acc=  0.0% |
| Epoch  22, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=2.320, TAw acc=  0.0% |
| Epoch  23, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.893, TAw acc=  0.0% |
| Epoch  24, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.492, TAw acc=  0.0% | *
| Epoch  25, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.851, TAw acc=  0.0% |
| Epoch  26, time=  4.8s | Train: skip eval | Valid: time=  0.2s loss=1.537, TAw acc=  0.0% |
| Epoch  27, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=2.217, TAw acc=  0.0% |
| Epoch  28, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.647, TAw acc=  0.0% |
| Epoch  29, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=2.204, TAw acc=  0.0% |
| Epoch  30, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=2.399, TAw acc=  0.0% |
| Epoch  31, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=2.004, TAw acc=  0.0% |
| Epoch  32, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.988, TAw acc=  0.0% |
| Epoch  33, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.922, TAw acc=  0.0% |
| Epoch  34, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.898, TAw acc=  0.0% |
| Epoch  35, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.929, TAw acc=  0.0% |
| Epoch  36, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.426, TAw acc=  0.0% | *
| Epoch  37, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.999, TAw acc=  0.0% |
| Epoch  38, time=  4.5s | Train: skip eval | Valid: time=  0.2s loss=1.820, TAw acc=  0.0% |
| Epoch  39, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.435, TAw acc=  0.0% |
| Epoch  40, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.940, TAw acc=  0.0% |
| Epoch  41, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.760, TAw acc=  0.0% |
| Epoch  42, time=  4.5s | Train: skip eval | Valid: time=  0.2s loss=1.530, TAw acc=  0.0% |
| Epoch  43, time=  4.5s | Train: skip eval | Valid: time=  0.2s loss=1.721, TAw acc=  0.0% |
| Epoch  44, time=  4.5s | Train: skip eval | Valid: time=  0.2s loss=1.717, TAw acc=  0.0% |
| Epoch  45, time=  4.8s | Train: skip eval | Valid: time=  0.2s loss=1.779, TAw acc=  0.0% |
| Epoch  46, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.900, TAw acc=  0.0% |
| Epoch  47, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.552, TAw acc=  0.0% |
| Epoch  48, time=  4.5s | Train: skip eval | Valid: time=  0.2s loss=2.033, TAw acc=  0.0% |
| Epoch  49, time=  4.8s | Train: skip eval | Valid: time=  0.2s loss=1.753, TAw acc=  0.0% |
| Epoch  50, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.657, TAw acc=  0.0% |
| Epoch  51, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.605, TAw acc=  0.0% |
| Epoch  52, time=  4.8s | Train: skip eval | Valid: time=  0.2s loss=1.575, TAw acc=  0.0% |
| Epoch  53, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.848, TAw acc=  0.0% |
| Epoch  54, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.691, TAw acc=  0.0% |
| Epoch  55, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.675, TAw acc=  0.0% |
| Epoch  56, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.695, TAw acc=  0.0% |
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=2.446 | TAw acc=  0.0%, forg=  0.0%| TAg acc= 29.9%, forg= 54.2% <<<
>>> Test on task  1 : loss=1.388 | TAw acc=  0.0%, forg=  0.0%| TAg acc= 61.9%, forg=  0.0% <<<
Save at ./results/20241114_der_cl/cifar100/cifar100_icarl_der_base_csl_1
************************************************************************************************************
Task  2
************************************************************************************************************
| Epoch   1, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=2.731, TAw acc=  0.0% | *
| Epoch   2, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=2.167, TAw acc=  0.0% | *
| Epoch   3, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.802, TAw acc=  0.0% | *
| Epoch   4, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.466, TAw acc=  0.0% | *
| Epoch   5, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.455, TAw acc=  0.0% | *
| Epoch   6, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.419, TAw acc=  0.0% | *
| Epoch   7, time=  4.8s | Train: skip eval | Valid: time=  0.2s loss=1.543, TAw acc=  0.0% |
| Epoch   8, time=  4.8s | Train: skip eval | Valid: time=  0.2s loss=1.384, TAw acc=  0.0% | *
| Epoch   9, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.626, TAw acc=  0.0% |
| Epoch  10, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.648, TAw acc=  0.0% |
| Epoch  11, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.698, TAw acc=  0.0% |
| Epoch  12, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.973, TAw acc=  0.0% |
| Epoch  13, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.969, TAw acc=  0.0% |
| Epoch  14, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=2.008, TAw acc=  0.0% |
| Epoch  15, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.618, TAw acc=  0.0% |
| Epoch  16, time=  4.8s | Train: skip eval | Valid: time=  0.2s loss=1.882, TAw acc=  0.0% |
| Epoch  17, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.886, TAw acc=  0.0% |
| Epoch  18, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=2.131, TAw acc=  0.0% |
| Epoch  19, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.787, TAw acc=  0.0% |
| Epoch  20, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.721, TAw acc=  0.0% |
| Epoch  21, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=2.170, TAw acc=  0.0% |
| Epoch  22, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=2.005, TAw acc=  0.0% |
| Epoch  23, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.802, TAw acc=  0.0% |
| Epoch  24, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=2.277, TAw acc=  0.0% |
| Epoch  25, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=2.193, TAw acc=  0.0% |
| Epoch  26, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.780, TAw acc=  0.0% |
| Epoch  27, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.882, TAw acc=  0.0% |
| Epoch  28, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.818, TAw acc=  0.0% |
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=2.304 | TAw acc=  0.0%, forg=  0.0%| TAg acc= 30.6%, forg= 53.5% <<<
>>> Test on task  1 : loss=4.567 | TAw acc=  0.0%, forg=  0.0%| TAg acc=  0.2%, forg= 61.7% <<<
>>> Test on task  2 : loss=1.389 | TAw acc=  0.0%, forg=  0.0%| TAg acc= 69.8%, forg=  0.0% <<<
Save at ./results/20241114_der_cl/cifar100/cifar100_icarl_der_base_csl_1
************************************************************************************************************
Task  3
************************************************************************************************************
| Epoch   1, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=2.796, TAw acc=  0.0% | *
| Epoch   2, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=2.243, TAw acc=  0.0% | *
| Epoch   3, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.847, TAw acc=  0.0% | *
| Epoch   4, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.710, TAw acc=  0.0% | *
| Epoch   5, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.758, TAw acc=  0.0% |
| Epoch   6, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.795, TAw acc=  0.0% |
| Epoch   7, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.818, TAw acc=  0.0% |
| Epoch   8, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.979, TAw acc=  0.0% |
| Epoch   9, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.841, TAw acc=  0.0% |
| Epoch  10, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.922, TAw acc=  0.0% |
| Epoch  11, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.889, TAw acc=  0.0% |
| Epoch  12, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.923, TAw acc=  0.0% |
| Epoch  13, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.195, TAw acc=  0.0% | *
| Epoch  14, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=2.032, TAw acc=  0.0% |
| Epoch  15, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.741, TAw acc=  0.0% |
| Epoch  16, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.790, TAw acc=  0.0% |
| Epoch  17, time=  4.6s | Train: skip eval | Valid: time=  0.2s loss=1.983, TAw acc=  0.0% |
| Epoch  18, time=  4.7s | Train: skip eval | Valid: time=  0.2s loss=1.710, TAw acc=  0.0% |
