Using downloaded and verified file: ./data/organamnist/organamnist.npz
Using downloaded and verified file: ./data/organamnist/organamnist.npz
Taskcla:  [(0, 3), (1, 3), (2, 3), (3, 2)]
Number of clients each task:  [10, 10, 10, 10]
************************************************************************************************************
Task  0
************************************************************************************************************
 Epoch: 17 | Train: time=  8.5s | Valid: time=  4.1s loss=0.200, TAw acc= 92.5% |
 Epoch: 18 | Train: time=  8.3s | Valid: time=  4.0s loss=0.067, TAw acc= 98.0% |
 Epoch: 19 | Train: time=  7.9s | Valid: time=  4.0s loss=0.033, TAw acc= 99.0% | *
 Epoch: 20 | Train: time=  8.3s | Valid: time=  4.0s loss=0.083, TAw acc= 98.3% |
 Epoch: 21 | Train: time=  8.3s | Valid: time=  3.9s loss=0.034, TAw acc= 98.6% |
 Epoch: 22 | Train: time=  8.1s | Valid: time=  4.0s loss=0.049, TAw acc= 98.6% |
 Epoch: 23 | Train: time=  8.0s | Valid: time=  4.1s loss=0.034, TAw acc= 99.2% |
 Epoch: 24 | Train: time=  7.8s | Valid: time=  4.1s loss=0.025, TAw acc= 99.2% | *
 Epoch: 25 | Train: time=  8.0s | Valid: time=  4.1s loss=0.038, TAw acc= 99.1% |
 Epoch: 26 | Train: time=  8.2s | Valid: time=  4.0s loss=0.116, TAw acc= 96.2% |
 Epoch: 27 | Train: time=  8.3s | Valid: time=  4.0s loss=0.032, TAw acc= 98.9% |
 Epoch: 28 | Train: time=  8.1s | Valid: time=  4.1s loss=0.038, TAw acc= 99.0% |
 Epoch: 29 | Train: time=  8.3s | Valid: time=  4.0s loss=0.108, TAw acc= 97.1% |
 Epoch: 30 | Train: time=  8.0s | Valid: time=  3.9s loss=0.023, TAw acc= 99.2% | *
 Epoch: 31 | Train: time=  8.5s | Valid: time=  4.0s loss=0.033, TAw acc= 99.1% |
 Epoch: 32 | Train: time=  8.3s | Valid: time=  3.9s loss=0.051, TAw acc= 98.2% |
 Epoch: 33 | Train: time=  8.2s | Valid: time=  4.1s loss=0.034, TAw acc= 98.5% |
 Epoch: 34 | Train: time=  7.8s | Valid: time=  4.0s loss=0.027, TAw acc= 99.6% |
 Epoch: 35 | Train: time=  8.2s | Valid: time=  4.1s loss=0.025, TAw acc= 99.4% |
