Files already downloaded and verified
Files already downloaded and verified
Taskcla:  [(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
Number of clients each task:  [10, 10, 10, 10, 10, 10, 10, 10, 10, 10]
************************************************************************************************************
Task  0
************************************************************************************************************
 Epoch: 2 | Train: time=  7.9s | Valid: time=  4.2s loss=1.746, TAw acc= 42.8% | *
 Epoch: 3 | Train: time=  8.1s | Valid: time=  4.4s loss=1.445, TAw acc= 52.6% | *
 Epoch: 4 | Train: time=  8.1s | Valid: time=  4.3s loss=1.515, TAw acc= 50.8% |
 Epoch: 5 | Train: time=  8.2s | Valid: time=  4.3s loss=1.429, TAw acc= 51.2% | *
 Epoch: 6 | Train: time=  8.2s | Valid: time=  4.3s loss=1.369, TAw acc= 55.2% | *
 Epoch: 7 | Train: time=  8.0s | Valid: time=  3.6s loss=1.326, TAw acc= 58.0% | *
 Epoch: 8 | Train: time=  7.5s | Valid: time=  4.3s loss=1.257, TAw acc= 59.8% | *
 Epoch: 9 | Train: time=  7.9s | Valid: time=  4.3s loss=1.276, TAw acc= 58.2% |
 Epoch: 10 | Train: time=  8.0s | Valid: time=  3.9s loss=1.208, TAw acc= 58.2% | *
 Epoch: 11 | Train: time=  8.1s | Valid: time=  4.3s loss=1.202, TAw acc= 60.0% | *
 Epoch: 12 | Train: time=  8.0s | Valid: time=  4.2s loss=1.190, TAw acc= 61.4% | *
 Epoch: 13 | Train: time=  8.2s | Valid: time=  4.2s loss=1.278, TAw acc= 62.2% |
 Epoch: 14 | Train: time=  7.9s | Valid: time=  4.2s loss=1.113, TAw acc= 64.8% | *
 Epoch: 15 | Train: time=  8.0s | Valid: time=  4.3s loss=1.197, TAw acc= 61.2% |
 Epoch: 16 | Train: time=  7.9s | Valid: time=  4.4s loss=1.254, TAw acc= 60.4% |
 Epoch: 17 | Train: time=  8.1s | Valid: time=  4.4s loss=1.088, TAw acc= 64.4% | *
 Epoch: 18 | Train: time=  7.6s | Valid: time=  4.3s loss=1.313, TAw acc= 56.6% |
 Epoch: 19 | Train: time=  8.2s | Valid: time=  4.3s loss=1.178, TAw acc= 61.2% |
 Epoch: 20 | Train: time=  8.0s | Valid: time=  4.4s loss=1.352, TAw acc= 59.2% |
 Epoch: 21 | Train: time=  8.1s | Valid: time=  4.2s loss=1.281, TAw acc= 59.4% |
 Epoch: 22 | Train: time=  7.9s | Valid: time=  4.2s loss=1.389, TAw acc= 58.8% |
 Epoch: 23 | Train: time=  7.8s | Valid: time=  4.2s loss=1.236, TAw acc= 62.2% |
 Epoch: 24 | Train: time=  8.0s | Valid: time=  4.1s loss=1.067, TAw acc= 63.8% | *
 Epoch: 25 | Train: time=  8.1s | Valid: time=  4.2s loss=1.265, TAw acc= 62.0% |
 Epoch: 26 | Train: time=  8.0s | Valid: time=  4.1s loss=1.226, TAw acc= 62.2% |
 Epoch: 27 | Train: time=  8.1s | Valid: time=  4.3s loss=1.186, TAw acc= 62.4% |
 Epoch: 28 | Train: time=  7.8s | Valid: time=  4.4s loss=1.325, TAw acc= 58.4% |
 Epoch: 29 | Train: time=  7.8s | Valid: time=  4.4s loss=1.101, TAw acc= 62.8% |
 Epoch: 30 | Train: time=  8.0s | Valid: time=  4.3s loss=1.314, TAw acc= 58.4% |
 Epoch: 31 | Train: time=  8.0s | Valid: time=  4.4s loss=1.086, TAw acc= 66.4% |
 Epoch: 32 | Train: time=  7.7s | Valid: time=  4.2s loss=1.223, TAw acc= 63.0% |
 Epoch: 33 | Train: time=  7.9s | Valid: time=  4.2s loss=1.203, TAw acc= 64.8% |
 Epoch: 34 | Train: time=  8.0s | Valid: time=  4.3s loss=1.112, TAw acc= 65.0% |
 Epoch: 35 | Train: time=  7.8s | Valid: time=  4.1s loss=1.052, TAw acc= 68.6% | *
 Epoch: 36 | Train: time=  8.1s | Valid: time=  4.2s loss=1.355, TAw acc= 61.6% |
 Epoch: 37 | Train: time=  8.1s | Valid: time=  4.2s loss=1.073, TAw acc= 68.0% |
 Epoch: 38 | Train: time=  8.0s | Valid: time=  4.3s loss=1.076, TAw acc= 68.4% |
 Epoch: 39 | Train: time=  8.2s | Valid: time=  4.2s loss=1.132, TAw acc= 66.6% |
 Epoch: 40 | Train: time=  8.0s | Valid: time=  4.3s loss=1.087, TAw acc= 66.8% |
 Epoch: 41 | Train: time=  8.1s | Valid: time=  4.2s loss=1.092, TAw acc= 68.4% |
 Epoch: 42 | Train: time=  7.8s | Valid: time=  4.2s loss=1.249, TAw acc= 64.2% |
 Epoch: 43 | Train: time=  8.1s | Valid: time=  4.2s loss=1.079, TAw acc= 67.2% |
 Epoch: 44 | Train: time=  8.1s | Valid: time=  4.3s loss=0.997, TAw acc= 68.4% | *
 Epoch: 45 | Train: time=  7.8s | Valid: time=  4.3s loss=1.088, TAw acc= 67.2% |
 Epoch: 46 | Train: time=  7.8s | Valid: time=  4.4s loss=1.113, TAw acc= 65.0% |
 Epoch: 47 | Train: time=  8.3s | Valid: time=  4.1s loss=1.007, TAw acc= 70.2% |
 Epoch: 48 | Train: time=  8.0s | Valid: time=  4.3s loss=1.170, TAw acc= 64.0% |
 Epoch: 49 | Train: time=  8.0s | Valid: time=  4.1s loss=1.074, TAw acc= 66.4% |
 Epoch: 50 | Train: time=  7.9s | Valid: time=  4.2s loss=1.097, TAw acc= 66.0% |
 Epoch: 51 | Train: time=  8.2s | Valid: time=  4.1s loss=1.148, TAw acc= 66.2% |
 Epoch: 52 | Train: time=  7.1s | Valid: time=  3.5s loss=1.021, TAw acc= 68.4% |
 Epoch: 53 | Train: time=  7.7s | Valid: time=  4.2s loss=1.045, TAw acc= 67.2% |
 Epoch: 54 | Train: time=  7.9s | Valid: time=  4.2s loss=1.185, TAw acc= 69.4% |
 Epoch: 55 | Train: time=  7.8s | Valid: time=  4.1s loss=1.105, TAw acc= 68.2% |
 Epoch: 56 | Train: time=  7.9s | Valid: time=  4.2s loss=1.122, TAw acc= 69.2% |
 Epoch: 57 | Train: time=  8.1s | Valid: time=  4.1s loss=1.146, TAw acc= 65.8% |
 Epoch: 58 | Train: time=  8.1s | Valid: time=  3.8s loss=0.924, TAw acc= 71.4% | *
 Epoch: 59 | Train: time=  7.9s | Valid: time=  4.3s loss=1.036, TAw acc= 68.4% |
 Epoch: 60 | Train: time=  8.1s | Valid: time=  4.2s loss=1.045, TAw acc= 69.0% |
 Epoch: 61 | Train: time=  8.0s | Valid: time=  4.3s loss=1.267, TAw acc= 67.2% |
 Epoch: 62 | Train: time=  8.1s | Valid: time=  4.1s loss=0.985, TAw acc= 71.4% |
 Epoch: 63 | Train: time=  8.0s | Valid: time=  4.2s loss=1.267, TAw acc= 64.6% |
 Epoch: 64 | Train: time=  8.0s | Valid: time=  4.1s loss=1.098, TAw acc= 68.0% |
 Epoch: 65 | Train: time=  7.7s | Valid: time=  4.2s loss=1.066, TAw acc= 69.6% |
 Epoch: 66 | Train: time=  7.9s | Valid: time=  3.7s loss=1.176, TAw acc= 66.8% |
 Epoch: 67 | Train: time=  7.9s | Valid: time=  4.2s loss=1.043, TAw acc= 69.8% |
 Epoch: 68 | Train: time=  8.0s | Valid: time=  4.1s loss=1.234, TAw acc= 67.6% |
 Epoch: 69 | Train: time=  8.0s | Valid: time=  4.0s loss=1.022, TAw acc= 71.4% |
 Epoch: 70 | Train: time=  7.9s | Valid: time=  4.2s loss=1.000, TAw acc= 70.4% |
 Epoch: 71 | Train: time=  8.0s | Valid: time=  4.1s loss=1.021, TAw acc= 72.2% |
 Epoch: 72 | Train: time=  8.1s | Valid: time=  4.2s loss=0.974, TAw acc= 70.0% |
 Epoch: 73 | Train: time=  7.9s | Valid: time=  3.3s loss=1.151, TAw acc= 70.0% |
 Epoch: 74 | Train: time=  7.8s | Valid: time=  4.2s loss=1.240, TAw acc= 67.2% |
 Epoch: 75 | Train: time=  8.0s | Valid: time=  4.1s loss=1.138, TAw acc= 70.2% |
 Epoch: 76 | Train: time=  8.2s | Valid: time=  4.2s loss=1.085, TAw acc= 69.4% |
 Epoch: 77 | Train: time=  8.1s | Valid: time=  4.3s loss=1.207, TAw acc= 67.8% |
 Epoch: 78 | Train: time=  7.8s | Valid: time=  4.1s loss=1.046, TAw acc= 70.2% |
--------------------------------------------------
--------------------------------------------------
| Selected 600 train exemplars, time= 13.4s
| Constructed 800 exemplars
Final memory length:  400
self.logits length and one shape:  400 (20,)
Previous classes:  [ 0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19]
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=10.006 | TAw acc= 57.3%, forg= 27.7%| TAg acc=:  1.0%, forg= 84.0% <<<
>>> Test on task  1 : loss=1.084 | TAw acc= 69.4%, forg=  0.0%| TAg acc=: 69.4%, forg=  0.0% <<<
Save at ./results/ACCV_2024_rebuttal/der/cifar100/cifar100_icarl_der_split_dp_grow_csl_1
************************************************************************************************************
Task  2
************************************************************************************************************
 Epoch: 1 | Train: time=  7.7s | Valid: time=  3.7s loss=1.421, TAw acc= 58.0% | *
 Epoch: 2 | Train: time=  7.6s | Valid: time=  4.2s loss=1.054, TAw acc= 64.4% | *
 Epoch: 3 | Train: time=  7.9s | Valid: time=  4.2s loss=0.869, TAw acc= 70.4% | *
 Epoch: 4 | Train: time=  8.0s | Valid: time=  4.0s loss=0.764, TAw acc= 74.2% | *
 Epoch: 5 | Train: time=  8.0s | Valid: time=  4.3s loss=0.666, TAw acc= 77.8% | *
 Epoch: 6 | Train: time=  7.8s | Valid: time=  4.2s loss=0.804, TAw acc= 74.2% |
 Epoch: 7 | Train: time=  8.2s | Valid: time=  4.1s loss=0.703, TAw acc= 75.6% |
 Epoch: 8 | Train: time=  8.1s | Valid: time=  3.9s loss=0.724, TAw acc= 75.6% |
 Epoch: 9 | Train: time=  8.0s | Valid: time=  3.7s loss=0.756, TAw acc= 75.6% |
 Epoch: 10 | Train: time=  8.1s | Valid: time=  3.8s loss=0.604, TAw acc= 79.6% | *
 Epoch: 11 | Train: time=  7.4s | Valid: time=  3.4s loss=0.916, TAw acc= 73.4% |
 Epoch: 12 | Train: time=  7.3s | Valid: time=  3.4s loss=0.683, TAw acc= 75.8% |
 Epoch: 13 | Train: time=  7.6s | Valid: time=  3.7s loss=0.585, TAw acc= 80.6% | *
 Epoch: 14 | Train: time=  8.2s | Valid: time=  4.1s loss=0.553, TAw acc= 81.4% | *
 Epoch: 15 | Train: time=  7.8s | Valid: time=  4.0s loss=0.705, TAw acc= 76.8% |
 Epoch: 16 | Train: time=  8.1s | Valid: time=  4.3s loss=0.664, TAw acc= 79.8% |
 Epoch: 17 | Train: time=  8.3s | Valid: time=  4.3s loss=0.648, TAw acc= 79.8% |
 Epoch: 18 | Train: time=  8.3s | Valid: time=  4.3s loss=0.589, TAw acc= 79.4% |
