Using downloaded and verified file: ./data/organamnist/organamnist.npz
Using downloaded and verified file: ./data/organamnist/organamnist.npz
num params: 465968
[(0, 3), (1, 3), (2, 3), (3, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  69, time= 52.0s | Train: skip eval | Valid: time=  0.8s loss=0.084, TAw acc= 96.9% |
| Epoch  70, time= 53.2s | Train: skip eval | Valid: time=  0.8s loss=0.098, TAw acc= 96.2% |
| Epoch  71, time= 51.6s | Train: skip eval | Valid: time=  0.8s loss=0.057, TAw acc= 97.7% | *
| Epoch  72, time= 53.4s | Train: skip eval | Valid: time=  0.8s loss=0.174, TAw acc= 93.6% |
| Epoch  73, time= 52.0s | Train: skip eval | Valid: time=  0.8s loss=0.072, TAw acc= 97.3% |
| Epoch  74, time= 53.3s | Train: skip eval | Valid: time=  0.8s loss=0.075, TAw acc= 97.9% |
| Epoch  75, time= 53.6s | Train: skip eval | Valid: time=  0.9s loss=0.077, TAw acc= 97.0% |
| Epoch  76, time= 53.1s | Train: skip eval | Valid: time=  0.8s loss=0.065, TAw acc= 98.1% |
| Epoch  77, time= 54.0s | Train: skip eval | Valid: time=  0.8s loss=0.084, TAw acc= 96.8% |
| Epoch  78, time= 53.9s | Train: skip eval | Valid: time=  0.8s loss=0.113, TAw acc= 96.1% |
| Epoch  79, time= 53.2s | Train: skip eval | Valid: time=  0.8s loss=0.086, TAw acc= 97.0% |
| Epoch  80, time= 53.9s | Train: skip eval | Valid: time=  0.9s loss=0.073, TAw acc= 97.5% |
| Epoch  81, time= 50.5s | Train: skip eval | Valid: time=  0.8s loss=0.105, TAw acc= 96.9% |
| Epoch  82, time= 54.0s | Train: skip eval | Valid: time=  0.9s loss=0.140, TAw acc= 95.5% |
| Epoch  83, time= 52.3s | Train: skip eval | Valid: time=  0.6s loss=0.111, TAw acc= 96.5% |
| Epoch  84, time= 52.2s | Train: skip eval | Valid: time=  0.9s loss=0.104, TAw acc= 96.0% |
| Epoch  85, time= 53.4s | Train: skip eval | Valid: time=  0.8s loss=0.078, TAw acc= 97.3% |
| Epoch  86, time= 52.7s | Train: skip eval | Valid: time=  0.8s loss=0.082, TAw acc= 96.9% |
| Selected 204 train exemplars, time= 11.4s
self.logits length and one shape:  204 (6,)
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=7.277 | TAw acc= 90.7%, forg=  5.5%| TAg acc=  0.0%, forg= 96.2% <<<
>>> Test on task  1 : loss=0.334 | TAw acc= 89.3%, forg=  0.0%| TAg acc= 89.3%, forg=  0.0% <<<
Save at ./results/ACCV_2024_rebuttal/der/organamnist/organamnist_der_fixd_cl_2
************************************************************************************************************
Task  2
************************************************************************************************************
| Epoch   1, time= 77.9s | Train: skip eval | Valid: time=  0.9s loss=0.852, TAw acc= 96.2% | *
| Epoch   2, time= 80.2s | Train: skip eval | Valid: time=  0.9s loss=0.706, TAw acc= 97.4% | *
| Epoch   3, time= 80.8s | Train: skip eval | Valid: time=  0.9s loss=0.284, TAw acc= 97.8% | *
| Epoch   4, time= 80.4s | Train: skip eval | Valid: time=  0.9s loss=0.195, TAw acc= 98.1% | *
| Epoch   5, time= 79.2s | Train: skip eval | Valid: time=  0.9s loss=0.148, TAw acc= 98.2% | *
| Epoch   6, time= 79.2s | Train: skip eval | Valid: time=  0.9s loss=0.203, TAw acc= 98.7% |
| Epoch   7, time= 80.9s | Train: skip eval | Valid: time=  0.7s loss=0.117, TAw acc= 98.2% | *
| Epoch   8, time= 80.2s | Train: skip eval | Valid: time=  0.9s loss=0.503, TAw acc= 96.4% |
| Epoch   9, time= 79.6s | Train: skip eval | Valid: time=  0.9s loss=0.202, TAw acc= 98.5% |
| Epoch  10, time= 80.1s | Train: skip eval | Valid: time=  0.9s loss=0.178, TAw acc= 98.7% |
| Epoch  11, time= 78.8s | Train: skip eval | Valid: time=  0.9s loss=0.206, TAw acc= 98.4% |
