Using downloaded and verified file: ./data/tissuemnist/tissuemnist.npz
Using downloaded and verified file: ./data/tissuemnist/tissuemnist.npz
num params: 465968
[(0, 2), (1, 2), (2, 2), (3, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  67, time=105.5s | Train: skip eval | Valid: time=  0.8s loss=0.325, TAw acc= 85.7% |
| Epoch  68, time=116.2s | Train: skip eval | Valid: time=  1.0s loss=0.350, TAw acc= 84.1% |
| Epoch  69, time=121.3s | Train: skip eval | Valid: time=  1.0s loss=0.361, TAw acc= 83.5% |
| Epoch  70, time=121.0s | Train: skip eval | Valid: time=  1.0s loss=0.328, TAw acc= 85.0% |
| Epoch  71, time=120.1s | Train: skip eval | Valid: time=  1.0s loss=0.326, TAw acc= 85.7% |
| Epoch  72, time=121.8s | Train: skip eval | Valid: time=  1.0s loss=0.316, TAw acc= 86.8% | *
| Epoch  73, time=120.7s | Train: skip eval | Valid: time=  1.0s loss=0.321, TAw acc= 86.1% |
| Epoch  74, time=121.0s | Train: skip eval | Valid: time=  1.0s loss=0.333, TAw acc= 84.8% |
| Epoch  75, time=119.9s | Train: skip eval | Valid: time=  1.0s loss=0.344, TAw acc= 84.5% |
| Epoch  76, time=120.1s | Train: skip eval | Valid: time=  1.0s loss=0.318, TAw acc= 86.7% |
| Epoch  77, time=121.4s | Train: skip eval | Valid: time=  1.0s loss=0.329, TAw acc= 84.9% |
| Epoch  78, time=120.9s | Train: skip eval | Valid: time=  0.8s loss=0.332, TAw acc= 84.6% |
| Epoch  79, time=110.6s | Train: skip eval | Valid: time=  1.0s loss=0.319, TAw acc= 85.9% |
| Epoch  80, time=117.9s | Train: skip eval | Valid: time=  1.0s loss=0.352, TAw acc= 84.7% |
| Epoch  81, time=105.5s | Train: skip eval | Valid: time=  0.8s loss=0.345, TAw acc= 84.5% |
| Epoch  82, time= 98.2s | Train: skip eval | Valid: time=  0.8s loss=0.331, TAw acc= 85.0% |
| Epoch  83, time=101.7s | Train: skip eval | Valid: time=  0.8s loss=0.400, TAw acc= 81.7% |
| Epoch  84, time= 97.3s | Train: skip eval | Valid: time=  0.8s loss=0.380, TAw acc= 82.0% |
| Epoch  85, time=117.0s | Train: skip eval | Valid: time=  1.0s loss=0.335, TAw acc= 85.1% |
| Epoch  86, time=120.0s | Train: skip eval | Valid: time=  1.0s loss=0.320, TAw acc= 86.1% |
| Epoch  87, time=120.1s | Train: skip eval | Valid: time=  1.0s loss=0.346, TAw acc= 84.1% |
| Selected 200 train exemplars, time= 31.2s
self.logits length and one shape:  200 (4,)
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=9.298 | TAw acc= 87.9%, forg=  1.4%| TAg acc=  0.0%, forg= 89.3% <<<
>>> Test on task  1 : loss=0.308 | TAw acc= 86.6%, forg=  0.0%| TAg acc= 86.6%, forg=  0.0% <<<
Save at ./results/ACCV_2024_rebuttal/der/tissuemnist/tissuemnist_der_fixd_cl_4
************************************************************************************************************
Task  2
************************************************************************************************************
| Epoch   1, time=109.8s | Train: skip eval | Valid: time=  1.0s loss=0.643, TAw acc= 74.7% | *
| Epoch   2, time=109.2s | Train: skip eval | Valid: time=  0.9s loss=0.507, TAw acc= 76.3% | *
| Epoch   3, time=110.2s | Train: skip eval | Valid: time=  0.9s loss=0.469, TAw acc= 78.6% | *
| Epoch   4, time=107.5s | Train: skip eval | Valid: time=  0.9s loss=0.450, TAw acc= 79.2% | *
