Files already downloaded and verified
Files already downloaded and verified
num params: 482856
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  42, time= 12.5s | Train: skip eval | Valid: time=  0.2s loss=1.352, TAw acc=  0.0% |
| Epoch  43, time= 14.4s | Train: skip eval | Valid: time=  0.2s loss=1.289, TAw acc=  0.0% |
| Epoch  44, time= 13.5s | Train: skip eval | Valid: time=  0.1s loss=1.283, TAw acc=  0.0% |
| Epoch  45, time= 13.1s | Train: skip eval | Valid: time=  0.2s loss=1.320, TAw acc=  0.0% |
| Epoch  46, time= 13.6s | Train: skip eval | Valid: time=  0.2s loss=1.657, TAw acc=  0.0% |
| Epoch  47, time= 14.4s | Train: skip eval | Valid: time=  0.2s loss=1.335, TAw acc=  0.0% |
| Epoch  48, time= 14.5s | Train: skip eval | Valid: time=  0.2s loss=1.208, TAw acc=  0.0% |
| Epoch  49, time= 14.3s | Train: skip eval | Valid: time=  0.2s loss=1.420, TAw acc=  0.0% |
| Epoch  50, time= 14.1s | Train: skip eval | Valid: time=  0.2s loss=1.240, TAw acc=  0.0% |
| Epoch  51, time= 13.7s | Train: skip eval | Valid: time=  0.2s loss=1.361, TAw acc=  0.0% |
| Epoch  52, time= 14.2s | Train: skip eval | Valid: time=  0.2s loss=1.278, TAw acc=  0.0% |
| Epoch  53, time= 14.6s | Train: skip eval | Valid: time=  0.2s loss=1.469, TAw acc=  0.0% |
| Epoch  54, time= 12.9s | Train: skip eval | Valid: time=  0.2s loss=1.396, TAw acc=  0.0% |
| Epoch  55, time= 13.0s | Train: skip eval | Valid: time=  0.2s loss=1.199, TAw acc=  0.0% |
| Epoch  56, time= 14.4s | Train: skip eval | Valid: time=  0.2s loss=1.394, TAw acc=  0.0% |
| Epoch  57, time= 14.6s | Train: skip eval | Valid: time=  0.2s loss=1.060, TAw acc=  0.0% | *
| Epoch  58, time= 13.4s | Train: skip eval | Valid: time=  0.2s loss=1.324, TAw acc=  0.0% |
| Epoch  59, time= 11.9s | Train: skip eval | Valid: time=  0.1s loss=1.447, TAw acc=  0.0% |
| Epoch  60, time= 12.1s | Train: skip eval | Valid: time=  0.2s loss=1.053, TAw acc=  0.0% | *
| Epoch  61, time= 13.4s | Train: skip eval | Valid: time=  0.2s loss=1.392, TAw acc=  0.0% |
| Epoch  62, time= 12.4s | Train: skip eval | Valid: time=  0.2s loss=1.256, TAw acc=  0.0% |
| Epoch  63, time= 14.0s | Train: skip eval | Valid: time=  0.2s loss=1.053, TAw acc=  0.0% |
| Epoch  64, time= 13.7s | Train: skip eval | Valid: time=  0.2s loss=1.226, TAw acc=  0.0% |
| Epoch  65, time= 13.8s | Train: skip eval | Valid: time=  0.1s loss=1.149, TAw acc=  0.0% |
| Epoch  66, time= 12.1s | Train: skip eval | Valid: time=  0.2s loss=1.630, TAw acc=  0.0% |
| Epoch  67, time= 12.4s | Train: skip eval | Valid: time=  0.2s loss=1.154, TAw acc=  0.0% |
| Epoch  68, time= 14.2s | Train: skip eval | Valid: time=  0.2s loss=1.166, TAw acc=  0.0% |
| Epoch  69, time= 11.2s | Train: skip eval | Valid: time=  0.1s loss=1.091, TAw acc=  0.0% |
| Epoch  70, time= 14.5s | Train: skip eval | Valid: time=  0.2s loss=1.016, TAw acc=  0.0% | *
| Epoch  71, time= 13.4s | Train: skip eval | Valid: time=  0.1s loss=1.362, TAw acc=  0.0% |
| Epoch  72, time= 12.9s | Train: skip eval | Valid: time=  0.2s loss=1.053, TAw acc=  0.0% |
